Date;2x_sp500_eu;1x_sp500_eu;SMA_Check;FEDFUNDS
1943-01-01;0.0;0.0;False;0.0
1943-01-04;3.151057899999987;1.5800754000000028;False;0.0
1943-01-05;-0.3769592943748123;-0.1868452048815805;False;0.0
1943-01-06;-0.1757536955672822;-0.0862422924673644;False;0.0
1943-01-07;0.4307153995591228;0.2169921468911706;False;0.0
1943-01-08;0.2280828367703158;0.1156759533865514;False;0.0
1943-01-11;0.8856955688466339;0.4476546470223663;False;0.0
1943-01-12;-0.5761431561377095;-0.2864370861119014;False;0.0
1943-01-13;0.4290862270190265;0.2161775717600234;False;0.0
1943-01-14;1.2322966318305095;0.6177828457553547;False;0.0
1943-01-15;1.624668131028617;0.8139684764357114;False;0.0
1943-01-18;0.6737808013703939;0.3417216092892472;False;0.0
1943-01-19;-1.9500181226752344;-0.9733744998426052;False;0.0
1943-01-20;0.2258673381445142;0.1145680768526613;False;0.0
1943-01-21;3.0172934009393915;1.5102812425367371;False;0.0
1943-01-22;-0.1701970990362733;-0.0834641157965054;False;0.0
1943-01-25;2.6367022379950367;1.3229567002160714;False;0.0
1943-01-26;0.9971402398484264;0.5002046409303684;False;0.0
1943-01-27;-0.1669702248095594;-0.0818506443506561;False;0.0
1943-01-28;0.2196901737135936;0.1114795138035251;False;0.0
1943-01-29;1.7653969007485282;0.8843329666219812;False;0.0
1943-02-01;1.6104803886799024;0.809963748974396;False;0.0
1943-02-02;0.0245552457964537;0.013912182560638;False;0.0
1943-02-03;-1.4963572742316522;-0.7465441531102179;False;0.0
1943-02-04;-0.1670155794935346;-0.0818733873921062;False;0.0
1943-02-05;1.5585917619726164;0.7809303631178377;False;0.0
1943-02-08;-0.1167044423636687;-0.0534317193294886;False;0.0
1943-02-09;1.5483648212351264;0.7758168158805256;False;0.0
1943-02-10;1.34780669630572;0.6755379136718087;False;0.0
1943-02-11;0.4001420882960405;0.2017054746884516;False;0.0
1943-02-12;0.0245553233243711;0.0139121925365248;False;0.0
1943-02-15;2.6991527916278235;1.3541971867053304;False;0.0
1943-02-16;-0.3454724203161952;-0.1711017454127605;False;0.0
1943-02-17;0.3952688619899058;0.1992689938290492;False;0.0
1943-02-18;-2.750652834908596;-1.3736920001070074;False;0.0
1943-02-19;-0.3506792357025778;-0.1737051381829668;False;0.0
1943-02-22;0.0736839778965325;0.0417422198180084;False;0.0
1943-02-23;3.783953757805048;1.893611336653045;False;0.0
1943-02-24;1.1315664107646397;0.567417717181895;False;0.0
1943-02-25;1.3089589239183352;0.6561139673165295;False;0.0
1943-02-26;0.0245552651321645;0.0139120920803703;False;0.0
1943-03-01;-0.8393289278338822;-0.4146671430902415;False;0.0
1943-03-02;-1.4416338675366291;-0.7191823942451547;False;0.0
1943-03-03;2.6065934974351945;1.30493120388806;False;0.0
1943-03-04;0.3878663477370647;0.1955676038739806;False;0.0
1943-03-05;0.932658525592034;0.4679637532880809;False;0.0
1943-03-08;-0.6536036359350295;-0.3218278575637057;False;0.0
1943-03-09;-1.0663506217768903;-0.5315408037835478;False;0.0
1943-03-10;-0.8896744255835976;-0.4432027396755078;False;0.0
1943-03-11;2.041916254227738;1.0225926205492453;False;0.0
1943-03-12;0.7501798317164798;0.3767243855276048;False;0.0
1943-03-15;-0.1103612855166469;-0.0502617474962829;False;0.0
1943-03-16;-0.5199106011302246;-0.2583208248087332;False;0.0
1943-03-17;-1.4296567488692125;-0.7131938425777862;False;0.0
1943-03-18;-0.3423975995802575;-0.1695644044243605;False;0.0
1943-03-19;-0.5263865183185445;-0.2615587986620649;False;0.0
1943-03-22;0.8063602729248887;0.4080060641209249;False;0.0
1943-03-23;0.5730181116283095;0.2881435731688642;False;0.0
1943-03-24;0.5715128651940127;0.2873908487941889;False;0.0
1943-03-25;4.213002987156944;2.108136015924944;False;0.0
1943-03-26;1.6292767591425728;0.8162728147293352;False;0.0
1943-03-29;3.435136708552156;1.722127529007467;False;0.0
1943-03-30;1.7642116589802417;0.8837403333196603;False;0.0
1943-03-31;-0.1489949813955449;-0.0728629981753825;False;0.0
1943-04-01;0.195394043119923;0.0993314258672883;False;0.0
1943-04-02;-0.4950052542975536;-0.2458681086649372;False;0.0
1943-04-05;0.5873292887815573;0.2985150155388139;False;0.0
1943-04-06;2.9562458725963747;1.4797573906045525;False;0.0
1943-04-07;-0.9977257962849206;-0.4972283816746747;False;0.0
1943-04-08;-1.686719252100255;-0.8417251955461058;False;0.0
1943-04-09;-7.908352091778115;-3.9525415184182178;False;0.0
1943-04-12;0.2476773803719245;0.1287219878905565;False;0.0
1943-04-13;-0.1566898277294837;-0.076710373394806;False;0.0
1943-04-14;2.5361474016926344;1.269708166930994;False;0.0
1943-04-15;1.4411221516116068;0.7221955517750622;False;0.0
1943-04-16;-0.5054865957991206;-0.2511088490137259;False;0.0
1943-04-19;0.9510756646249784;0.4803529855192501;False;0.0
1943-04-20;-0.6803052926698139;-0.3385182433777167;False;0.0
1943-04-21;1.9627176690593773;0.982993334565152;False;0.0
1943-04-22;0.5466999111531257;0.2749844543120883;False;0.0
1943-04-23;0.0226824110989509;0.0129756957109039;False;0.0
1943-04-26;0.0680627110250853;0.0389320927372871;False;0.0
1943-04-27;0.022682387825923;0.0129756645512069;False;0.0
1943-04-28;0.0226824145203696;0.0129757399795593;False;0.0
1943-04-29;1.9390587190164956;0.9711638450401016;False;0.0
1943-04-30;0.0226824266311931;0.0129756699817962;False;0.0
1943-05-03;4.035588161566772;2.022330494278557;False;0.0
1943-05-04;0.6984580996601597;0.350863539279489;False;0.0
